,alias,status,conid,symbol,sec_type,exchange,currency,local_symbol,primary_exchange,trading_class,sec_id_type,sec_id,description,issuer_id
178,MICROSOFT CORP,UNCONFIRMED,11462841,MSFTUSD,STK,EBS,USD,,EBS,,,,MICROSOFT CORP,
179,MICROSOFT CORP,UNCONFIRMED,12178239,MSF,STK,IBIS,EUR,,IBIS,,,,MICROSOFT CORP,
180,MICROSOFT CORP,UNCONFIRMED,38708990,MSFT,STK,MEXI,MXN,,MEXI,,,,MICROSOFT CORP,
181,MICROSOFT CORP,UNCONFIRMED,265861713,MSFT.REC,STK,CARISK,USD,,CARISK,,,,MICROSOFT CORP RECEIVABLE,
182,MICROSOFT CORP,UNCONFIRMED,415569505,MSFT,STK,EBS,CHF,,EBS,,,,MICROSOFT CORP,
183,MICROSOFT CORP,UNCONFIRMED,518938052,MSFT,STK,AEQLIT,CAD,,AEQLIT,,,,MICROSOFT CORP-CDR,
184,MICROSOFT CORP,UNCONFIRMED,-1,,BOND,,,,,,,,Microsoft Corp,e1393444
185,MERITAGE HOMES CORP,UNCONFIRMED,2586041,MTH,STK,NYSE,USD,,NYSE,,,,MERITAGE HOMES CORP,
186,MERITAGE HOMES CORP,UNCONFIRMED,603529157,MEY,STK,FWB2,EUR,,FWB2,,,,MERITAGE HOMES CORP,
187,MERITAGE HOMES CORP,UNCONFIRMED,-1,,BOND,,,,,,,,Meritage Homes Corp,e1409626
188,MYR GROUP INC,UNCONFIRMED,53273299,MYRG,STK,NASDAQ,USD,,NASDAQ,,,,MYR GROUP INC/DELAWARE,
189,MYR GROUP INC,UNCONFIRMED,603521992,MYP,STK,FWB2,EUR,,FWB2,,,,MYR GROUP INC/DELAWARE,
190,NEXT 15 GROUP PLC,UNCONFIRMED,909151,NFG,STK,LSE,GBP,,LSE,,,,NEXT 15 GROUP PLC,
191,NEXT 15 GROUP PLC,UNCONFIRMED,603528582,8LS,STK,FWB2,EUR,,FWB2,,,,NEXT 15 GROUP PLC,
